Year,Chamber,CO2,Nitrogen,Treatment,SCbiomass_m2,T7,T8,T9
2006,1,1,1,4,504.2628275,2923.9,2897.5,2890.8
2006,2,0,0,1,288.095639,2414.4,2387.1,2398
2006,3,1,0,3,373.5711065,2517.8,2509.9,2406.3
2006,4,0,1,2,355.5209001,2151.2,2133.8,2162.7
2006,5,1,1,4,558.5912613,2266.8,2276.3,2275.5
2006,6,0,0,1,367.4409133,2244,2209.8,2182.1
2006,7,0,0,1,237.8006685,2400,2377.8,2368.9
2006,8,1,0,3,290.3013024,2238.2,2216.2,2250.2
2006,9,1,0,3,349.0708755,3314.1,3332.1,3335.7
2006,10,0,1,2,346.4392232,3285.8,3264.2,3265.6
2006,11,0,1,2,408.9370788,3196.3,3181.6,3170.9
2006,12,1,1,4,409.1163566,3560,3517.9,3548.9
2006,13,1,0,3,273.9104584,3232.5,3242.5,3259.9
2006,14,0,1,2,365.2668954,2938.8,2924.3,2929.3
2006,15,1,1,4,378.6067657,2740.5,2701.2,2715.8
2006,16,0,0,1,333.6466492,2877.7,2824.4,2847.3
2006,17,0,0,1,375.4480182,2812.9,2779.3,2785.7
2006,18,1,1,4,438.8244714,2583.2,2616.7,2624.5
2006,19,1,0,3,329.0456234,2860.7,2866,2889.5
2006,20,0,1,2,248.6532722,3041.4,3015.63,3069.3
2007,1,1,1,4,578.4850628,2858.2,2903.9,2810.9
2007,2,0,0,1,351.9846977,2327.5,2378.1,2338.3
2007,3,1,0,3,597.8391264,2416.4,2453.5,2443.9
2007,4,0,1,2,460.6669046,2103.6,2174.3,2198.2
2007,5,1,1,4,818.2416683,2256.1,2309.1,2237.2
2007,6,0,0,1,623.0853244,2233,2201.6,2231.7
2007,7,0,0,1,421.2126764,2337.3,2329.9,2387.5
2007,8,1,0,3,446.1163909,2212.9,2217.2,2225.5
2007,9,1,0,3,497.9442074,3267.7,3298.3,3301.3
2007,10,0,1,2,565.3380344,3229.4,3276.9,3296.6
2007,11,0,1,2,472.3179817,3178.1,3184.5,3195.4
2007,12,1,1,4,747.0143853,3538.8,3579.6,3551.2
2007,13,1,0,3,439.7099458,3195.2,3199,3224.1
2007,14,0,1,2,477.2853422,2909.3,2974.4,2942.3
2007,15,1,1,4,814.7026083,2695.8,2659.8,2766.4
2007,16,0,0,1,533.6606695,2812,2849.2,2882.3
2007,17,0,0,1,583.7488497,2805.2,2773.5,2742.4
2007,18,1,1,4,842.6406426,2582.9,2606,2562.2
2007,19,1,0,3,678.0521222,2864.3,2776.7,2803.5
2007,20,0,1,2,325.5919384,3092.3,3052.2,3038.9
2008,1,1,1,4,610.6325176,2951.1,2964.1,2957.2
2008,2,0,0,1,390.048567,2391.2,2414.5,2434.5
2008,3,1,0,3,485.1614804,2465.1,2441.5,2468.5
2008,4,0,1,2,526.6698228,2176.7,2212.6,2201.8
2008,5,1,1,4,600.1437381,2322.1,2335.1,2307.1
2008,6,0,0,1,596.3145199,2246.7,2256.1,2199.49
2008,7,0,0,1,421.3938556,2486.1,2366.6,2400.54
2008,8,1,0,3,508.8350438,2324.2,2305.5,2283
2008,9,1,0,3,481.0130722,3451.2,3390.2,3402.3
2008,10,0,1,2,442.006837,3315.9,3266.2,3284.8
2008,11,0,1,2,351.4812228,3220,3149.9,3166.3
2008,12,1,1,4,574.5004204,3771.4,3675.8,3719.7
2008,13,1,0,3,365.6216889,3305.5,3277.6,3281
2008,14,0,1,2,445.429811,3094.7,3043.2,3074
2008,15,1,1,4,569.6263285,2807.3,2813.1,2821.6
2008,16,0,0,1,556.8469015,2950.3,2949.8,2942.8
2008,17,0,0,1,507.1683,2902.1,2848.9,2950.3
2008,18,1,1,4,730.5417328,2637.5,2674.1,2703.2
2008,19,1,0,3,695.2023568,2878.1,2895.5,2937.2
2008,20,0,1,3152.1,3161.9,3229.3,,
,,2,450.3103394,,,,,